district_name,survey_year,soil_ph,organic_carbon_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct
Visakhapatnam,2016,6.87,0.517,244.6,10.5,177.9,24.5
Visakhapatnam,2019,6.99,0.416,256.6,8.7,216.7,17.8
Visakhapatnam,2022,7.16,0.515,299.3,18.1,303.1,19.3
Vizianagaram,2016,7.15,0.541,277.6,16.3,242.7,32.4
Vizianagaram,2019,6.32,0.381,327.4,21.0,149.0,22.9
Vizianagaram,2022,6.44,0.558,231.6,23.3,268.5,29.4
Srikakulam,2016,6.8,0.608,263.9,22.5,202.9,18.1
Srikakulam,2019,6.67,0.588,296.9,25.2,161.3,30.3
Srikakulam,2022,7.39,0.452,249.0,29.9,253.9,33.1
East Godavari,2016,6.61,0.716,272.4,17.7,158.9,17.7
East Godavari,2019,7.25,0.444,305.2,29.4,280.7,24.7
East Godavari,2022,6.18,0.615,303.0,29.7,160.9,31.0
West Godavari,2016,7.4,0.492,343.8,22.4,236.2,19.2
West Godavari,2019,7.04,0.537,321.0,26.5,246.9,31.6
West Godavari,2022,6.08,0.523,213.6,28.1,219.7,28.7
Krishna,2016,7.52,0.589,308.0,13.8,263.6,24.5
Krishna,2019,5.73,0.439,303.5,10.3,264.0,30.3
Krishna,2022,7.26,0.663,261.3,19.9,216.8,31.7
Guntur,2016,6.77,0.543,308.0,9.2,253.0,31.1
Guntur,2019,6.2,0.668,265.8,17.8,273.9,26.4
Guntur,2022,7.51,0.84,368.9,15.7,282.0,34.0
Prakasam,2016,6.23,0.287,292.0,14.5,335.8,28.1
Prakasam,2019,6.78,0.588,262.1,16.7,204.3,25.8
Prakasam,2022,6.8,0.539,338.2,24.8,198.3,27.8
Nellore,2016,6.27,0.392,342.5,14.1,240.6,29.6
Nellore,2019,6.58,0.516,297.3,24.0,279.3,25.1
Nellore,2022,6.76,0.64,188.5,31.2,369.3,36.1
Kurnool,2016,7.46,0.339,263.6,19.6,234.3,13.8
Kurnool,2019,7.02,0.267,310.2,31.8,167.5,15.7
Kurnool,2022,7.19,0.2,256.9,21.3,302.1,7.5
Anantapur,2016,7.49,0.187,292.5,25.3,245.7,15.2
Anantapur,2019,7.77,0.38,272.1,15.4,213.5,15.7
Anantapur,2022,7.82,0.515,286.8,33.3,212.2,24.4
Chittoor,2016,7.53,0.349,261.4,23.4,209.8,8.5
Chittoor,2019,7.1,0.501,299.4,26.3,222.7,23.1
Chittoor,2022,7.41,0.381,293.7,34.4,195.8,20.7
YSR Kadapa,2016,7.95,0.563,335.2,15.8,312.5,10.8
YSR Kadapa,2019,7.03,0.352,196.5,21.8,181.6,17.6
YSR Kadapa,2022,7.38,0.141,289.8,23.3,195.2,14.1
