district_name,obs_date,rainfall_mm,temp_max_c,temp_min_c,humidity_pct
Visakhapatnam,2015-01-01,0.0,26.9,19.9,60.6
Visakhapatnam,2015-01-02,0.0,26.6,19.2,53.1
Visakhapatnam,2015-01-03,0.0,27.1,20.0,59.7
Visakhapatnam,2015-01-04,0.0,29.4,19.5,49.8
Visakhapatnam,2015-01-05,0.0,26.9,19.9,54.7
Visakhapatnam,2015-01-06,0.0,27.2,20.3,54.1
Visakhapatnam,2015-01-07,0.0,27.6,19.6,57.2
Visakhapatnam,2015-01-08,0.0,28.6,21.2,52.6
Visakhapatnam,2015-01-09,0.0,27.1,19.6,61.8
Visakhapatnam,2015-01-10,0.0,27.0,18.2,58.9
Visakhapatnam,2015-01-11,0.0,28.7,18.3,56.4
Visakhapatnam,2015-01-12,0.0,28.3,19.9,56.3
Visakhapatnam,2015-01-13,0.0,28.1,19.3,58.8
Visakhapatnam,2015-01-14,0.0,27.6,18.5,51.2
Visakhapatnam,2015-01-15,0.0,29.8,18.1,60.8
Visakhapatnam,2015-01-16,0.0,27.6,19.2,58.5
Visakhapatnam,2015-01-17,0.0,29.0,18.7,52.2
Visakhapatnam,2015-01-18,0.0,27.8,17.7,48.2
Visakhapatnam,2015-01-19,0.0,28.6,19.2,59.1
Visakhapatnam,2015-01-20,0.0,28.2,19.6,53.1
Visakhapatnam,2015-01-21,0.0,27.2,18.7,52.7
Visakhapatnam,2015-01-22,0.0,28.6,18.6,55.1
Visakhapatnam,2015-01-23,0.0,28.6,19.7,54.4
Visakhapatnam,2015-01-24,0.0,28.0,17.4,46.3
Visakhapatnam,2015-01-25,0.0,26.9,19.5,49.6
Visakhapatnam,2015-01-26,0.0,29.6,18.7,59.4
Visakhapatnam,2015-01-27,0.0,27.9,18.1,53.0
Visakhapatnam,2015-01-28,0.0,26.1,19.5,56.4
Visakhapatnam,2015-01-29,0.0,26.4,19.2,51.8
Visakhapatnam,2015-01-30,0.0,28.2,20.7,53.6
Visakhapatnam,2015-01-31,0.0,28.4,19.4,63.2
Visakhapatnam,2015-02-01,0.0,28.6,20.6,47.9
Visakhapatnam,2015-02-02,0.0,27.1,18.8,46.7
Visakhapatnam,2015-02-03,0.0,28.0,17.7,48.9
Visakhapatnam,2015-02-04,0.0,29.3,21.2,72.5
Visakhapatnam,2015-02-05,0.0,27.1,17.1,56.6
Visakhapatnam,2015-02-06,0.0,27.9,18.7,54.2
Visakhapatnam,2015-02-07,0.0,28.6,19.2,48.8
Visakhapatnam,2015-02-08,0.0,27.8,19.3,65.6
Visakhapatnam,2015-02-09,0.0,29.6,18.9,47.9
Visakhapatnam,2015-02-10,0.0,27.6,21.5,50.1
Visakhapatnam,2015-02-11,0.0,27.4,20.4,57.3
Visakhapatnam,2015-02-12,0.0,28.5,18.8,57.7
Visakhapatnam,2015-02-13,0.0,27.1,18.2,56.0
Visakhapatnam,2015-02-14,0.0,28.8,19.4,56.7
Visakhapatnam,2015-02-15,0.0,29.0,19.1,61.6
Visakhapatnam,2015-02-16,0.0,30.6,19.8,47.7
Visakhapatnam,2015-02-17,0.0,30.8,21.4,53.9
Visakhapatnam,2015-02-18,0.0,30.6,18.6,49.6
Visakhapatnam,2015-02-19,0.0,28.4,19.7,54.0
Visakhapatnam,2015-02-20,1.8,29.7,17.7,84.7
Visakhapatnam,2015-02-21,0.0,27.5,18.9,53.0
Visakhapatnam,2015-02-22,0.0,27.4,19.9,52.1
Visakhapatnam,2015-02-23,0.0,30.3,20.4,63.0
Visakhapatnam,2015-02-24,0.0,28.3,19.7,56.5
Visakhapatnam,2015-02-25,0.0,27.9,20.0,56.4
Visakhapatnam,2015-02-26,0.0,31.5,19.1,53.3
Visakhapatnam,2015-02-27,0.0,28.6,20.4,62.2
Visakhapatnam,2015-02-28,0.0,28.6,17.9,54.0
Visakhapatnam,2015-03-01,0.0,28.8,19.3,54.4
Visakhapatnam,2015-03-02,0.0,27.7,22.3,47.3
Visakhapatnam,2015-03-03,0.0,31.8,23.1,48.0
Visakhapatnam,2015-03-04,0.0,30.0,22.0,49.1
Visakhapatnam,2015-03-05,0.0,30.6,20.8,52.7
Visakhapatnam,2015-03-06,0.0,28.1,20.2,53.4
Visakhapatnam,2015-03-07,0.0,29.1,20.9,61.1
Visakhapatnam,2015-03-08,0.0,30.3,20.6,55.0
Visakhapatnam,2015-03-09,0.0,30.3,20.5,67.6
Visakhapatnam,2015-03-10,0.0,30.5,19.8,48.3
Visakhapatnam,2015-03-11,0.0,30.4,21.1,44.5
Visakhapatnam,2015-03-12,0.0,30.7,19.6,52.2
Visakhapatnam,2015-03-13,0.0,30.3,20.5,54.4
Visakhapatnam,2015-03-14,0.0,30.5,22.3,39.6
Visakhapatnam,2015-03-15,0.0,30.6,21.2,52.8
Visakhapatnam,2015-03-16,0.0,30.8,22.7,45.8
Visakhapatnam,2015-03-17,0.0,30.1,20.9,48.7
Visakhapatnam,2015-03-18,0.0,32.1,21.7,65.4
Visakhapatnam,2015-03-19,0.0,31.2,22.9,57.6
Visakhapatnam,2015-03-20,0.0,30.4,21.3,50.8
Visakhapatnam,2015-03-21,0.0,29.4,22.0,53.9
Visakhapatnam,2015-03-22,0.0,31.8,23.1,59.4
Visakhapatnam,2015-03-23,0.0,30.9,20.2,51.9
Visakhapatnam,2015-03-24,0.0,31.8,20.7,48.9
